ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,month,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,year,days_since_launch
2013-07-01,16650,16.309987987987988,74.8,78.1,73.4,7.8,0.0,7,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,0
2013-07-02,22745,15.968826115629811,76.1,82.9,73.0,8.0,0.73,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,1
2013-07-03,21864,16.238808086351998,78.5,84.9,73.9,8.8,0.06,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,2
2013-07-04,22326,21.21847397652961,82.0,91.0,73.9,8.6,0.96,7,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,3
2013-07-05,21842,18.040443488081063,84.4,93.0,75.9,9.0,0.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,4
2013-07-06,20467,19.326261787267303,87.0,95.0,77.0,9.3,0.0,7,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,5
2013-07-07,20477,18.63832348488548,88.8,98.1,79.0,8.8,0.0,7,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,6
2013-07-08,21615,21.492164392011727,83.7,98.1,75.0,8.9,0.0,7,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,7
2013-07-09,26641,16.098854522477886,82.6,91.0,75.0,6.0,0.0,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,8
2013-07-10,25732,15.5319543758744,82.0,91.0,75.0,8.7,0.08,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,9
2013-07-11,24417,16.82863442137309,82.3,91.0,75.0,7.6,0.02,7,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,10
2013-07-12,19006,15.635127503595358,75.4,86.0,72.0,9.1,0.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,11
2013-07-13,26119,18.615661013055625,71.4,78.1,68.0,10.5,0.23,7,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,12
2013-07-14,29287,19.36267115102264,80.2,93.9,69.1,6.0,0.01,7,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,13
2013-07-15,28069,15.318282328072492,87.2,93.9,72.0,7.8,0.0,7,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,14
2013-07-16,29842,15.128550923753988,86.5,93.9,79.0,7.9,0.0,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,15
2013-07-17,30550,14.669449536279323,87.4,97.0,78.1,4.0,0.0,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,16
2013-07-18,28869,14.380492338956437,89.3,100.0,78.1,6.3,0.0,7,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,17
2013-07-19,26591,14.671052862497335,92.5,100.0,82.9,8.9,0.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,18
2013-07-20,25278,17.947821557612695,89.2,100.0,82.9,11.3,0.0,7,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,19
2013-07-21,30297,18.70789902190536,82.2,95.0,77.0,7.6,0.0,7,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,20
2013-07-22,25979,14.700189255424256,77.1,87.1,75.0,8.3,0.0,7,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,21
2013-07-23,32376,15.737208117123792,80.0,91.0,75.0,7.4,0.58,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,22
2013-07-24,35271,15.592202753914927,79.9,91.0,75.0,7.8,0.31,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,23
2013-07-25,31084,14.937073199502423,68.0,82.9,64.0,11.7,0.0,7,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,24
2013-07-26,34534,15.667923881778345,71.5,84.0,64.0,8.6,0.02,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,25
2013-07-27,32470,18.914398419053487,76.9,84.0,64.9,8.5,0.0,7,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,26
2013-07-28,23508,17.54357310986332,74.8,84.0,71.1,7.6,0.0,7,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,27
2013-07-29,34915,15.691451620602416,77.3,89.1,71.1,5.7,0.13,7,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,28
2013-07-30,37334,15.828179853931172,75.9,89.1,70.0,8.7,0.0,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,29
2013-07-31,37261,15.392547167279464,76.1,82.0,70.0,6.2,0.0,7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,30
2013-08-01,20138,13.377141887641937,73.5,82.0,69.1,7.6,0.0,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,31
2013-08-02,35792,16.090496479660263,75.5,86.0,69.1,7.3,0.5,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,32
2013-08-03,29540,18.492146806589925,76.4,86.0,70.0,8.1,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,33
2013-08-04,35253,19.719960003403965,74.6,81.0,70.0,8.7,0.01,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,34
2013-08-05,36776,16.118436842868544,71.5,81.0,64.0,9.4,0.0,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,35
2013-08-06,37702,16.159205081958515,73.9,82.0,64.0,6.3,0.0,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,36
2013-08-07,34396,14.686894793968293,74.4,82.0,66.9,9.5,0.0,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,37
2013-08-08,28366,14.319887071376534,75.0,82.0,71.1,9.1,0.16,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,38
2013-08-09,29017,15.138192553790304,78.2,89.1,71.1,9.2,0.08,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,39
2013-08-10,37201,20.443239877064237,78.3,89.1,72.0,8.9,0.04,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,40
2013-08-11,33060,19.43059034079452,74.8,84.0,66.9,5.7,0.0,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,41
2013-08-12,31457,15.305080480232272,74.8,82.0,66.9,5.5,0.09,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,42
2013-08-13,22437,15.649830636894416,74.0,82.0,70.0,5.3,0.01,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,43
2013-08-14,38150,15.55513237221494,69.5,78.1,62.1,12.4,0.73,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,44
2013-08-15,37386,15.298375060182956,69.8,78.1,62.1,8.2,0.0,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,45
2013-08-16,35991,16.389049114130383,72.6,81.0,63.0,3.7,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,46
2013-08-17,37285,20.104246122211794,73.6,81.0,66.9,5.2,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,47
2013-08-18,27612,16.943679680332224,72.5,81.0,68.0,5.2,0.0,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,48
2013-08-19,33127,14.89228172387076,73.5,80.1,68.0,5.5,0.0,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,49
2013-08-20,35843,14.974709148229778,77.5,89.1,68.0,4.5,0.0,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,50
2013-08-21,36315,15.094893294781771,81.1,90.0,70.0,4.5,0.0,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,51
2013-08-22,26629,14.405246786085344,77.5,90.0,73.0,5.8,0.0,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,52
2013-08-23,33503,15.743948303137028,76.2,81.0,72.0,9.0,0.24,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,53
2013-08-24,32941,18.07967173633669,71.5,81.0,64.0,8.9,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,54
2013-08-25,31755,19.063203694956176,73.8,82.9,64.0,4.8,0.0,8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,55
2013-08-26,29979,15.47495413456086,75.3,84.0,66.9,9.1,0.0,8,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,56
2013-08-27,34208,15.067807725288436,78.3,86.0,70.0,10.6,0.01,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,57
2013-08-28,28185,14.159055644255217,78.0,86.0,73.0,3.2,0.1,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,58
2013-08-29,34215,14.31313556432364,74.6,84.9,71.1,7.3,0.0,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,59
2013-08-30,32318,15.444152897250245,75.4,86.0,69.1,7.4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,60
2013-08-31,25381,17.858579252196535,78.5,86.0,69.1,8.8,0.0,8,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,61
2013-09-01,25235,18.374891354600088,79.6,86.0,73.0,8.0,0.0,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,62
2013-09-02,21416,16.858852415639397,76.9,80.6,71.6,4.8,0.0,9,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,63
2013-09-03,32411,14.437786553947737,76.2,82.0,72.0,6.7,0.99,9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,64
